id,code_prefix_start,name
account_group_643,643,Ativos intangíveis.
account_group_65,65,Perdas por imparidade
account_group_651,651,Em dívidas a receber
account_group_652,652,Em inventários
account_group_653,653,Em investimentos financeiros
account_group_67,67,Provisões do período
account_group_68,68,Outros gastos
account_group_681,681,Impostos
account_group_684,684,Perdas em inventários
account_group_686,686,Gastos nos restantes investimentos financeiros
account_group_687,687,Gastos em investimentos não financeiros
account_group_688,688,Outros
account_group_6888,6888,Outros não especificados
account_group_69,69,Gastos de financiamento
account_group_691,691,Juros suportados
account_group_692,692,Diferenças de câmbio desfavoráveis
account_group_698,698,Outros gastos de financiamento
account_group_7,7,RENDIMENTOS
account_group_71,71,Vendas
account_group_712,712,Produtos acabados e intermédios
account_group_717,717,Devoluções de vendas
account_group_7172,7172,Produtos acabados e intermédios
account_group_718,718,Descontos e abatimentos em vendas
account_group_7182,7182,Produtos acabados e intermédios
account_group_72,72,Prestações de serviços
account_group_73,73,Variações nos inventários da produção
account_group_74,74,Trabalhos para a própria entidade
account_group_75,75,Subsídios à exploração
account_group_76,76,Reversões
account_group_761,761,De depreciações e de amortizações
account_group_762,762,De perdas por imparidade
account_group_7621,7621,Em dívidas a receber
account_group_763,763,De provisões
account_group_78,78,Outros rendimentos
account_group_784,784,Ganhos em inventários
account_group_786,786,Rendimentos nos restantes ativos financeiros
account_group_787,787,Rendimentos em investimentos não financeiros
account_group_788,788,Outros
account_group_79,79,"Juros, dividendos e outros rendimentos similares"
account_group_791,791,Juros obtidos
account_group_8,8,RESULTADOS
account_group_81,81,Resultado líquido do período
account_group_812,812,Imposto sobre o rendimento do período
