id,code_prefix_start,name
account_group_4183,4183,Investimentos em entidades conjuntamente controladas - Participações de capital — método da equivalência patrimonial
account_group_4191,4191,Investimentos em subsidiárias
account_group_41911,41911,Investimentos em subsidiárias - Participações de capital - método da equivalência patrimonial
account_group_4192,4192,Investimentos em associadas
account_group_41921,41921,Investimentos em associadas - Participações de capital - método da equivalência patrimonial
account_group_4193,4193,Investimentos em entidades conjuntamente controladas
account_group_41931,41931,Investimentos em entidades conjuntamente controladas - Participações de capital - método da equivalência patrimonial
account_group_4194,4194,Investimentos noutras empresas
account_group_4195,4195,Outros investimentos financeiros
account_group_42,42,Propriedades de investimento
account_group_428,428,Depreciações acumuladas
account_group_429,429,Perdas por imparidade acumuladas
account_group_439,439,Perdas por imparidade acumuladas
account_group_445,445,Despesas de instalação
account_group_449,449,Perdas por imparidade acumuladas
account_group_459,459,Perdas por imparidade acumuladas
account_group_4595,4595,Adiantamentos por conta de investimentos
account_group_46,46,Ativos não correntes detidos para venda
account_group_461,461,Ativos não correntes detidos para venda
account_group_469,469,Perdas por imparidade acumuladas
account_group_57,57,Ajustamentos em ativos financeiros
account_group_571,571,Relacionados com o método da equivalência patrimonial
account_group_58,58,Excedentes de revalorização de ativos fixos tangíveis e intangíveis
account_group_581,581,Reavaliações decorrentes de diplomas legais
account_group_589,589,Outros excedentes
account_group_633,633,Benefícios pós-emprego
account_group_641,641,Propriedades de investimento
account_group_644,644,Ativos biológicos
account_group_645,645,Investimentos Financeiros
account_group_654,654,Em propriedades de investimento
account_group_655,655,Em ativos fixos tangíveis
account_group_656,656,Em ativos intangíveis
account_group_657,657,Em investimentos em curso
account_group_6575,6575,Adiantamentos por conta de investimentos
account_group_658,658,Em ativos não correntes detidos para venda
account_group_66,66,Perdas por reduções de justo valor
account_group_662,662,Em investimentos financeiros
account_group_663,663,Em propriedades de investimento
account_group_664,664,Em ativos biológicos
account_group_685,685,"Gastos em subsidiárias, associadas e empreendimentos conjuntos"
account_group_6852,6852,"Outros gastos - Gastos em subsidiárias, associadas e empreendimentos conjuntos - Aplicação do método da equivalência patrimonial"
account_group_713,713,"Subprodutos, desperdícios, resíduos e refugos"
account_group_731,731,Variações nos inventários da produção - Produtos acabados e intermédios
account_group_732,732,"Variações nos inventários da produção - Subprodutos, desperdícios, resíduos e refugos"
account_group_7611,7611,Reversões - De depreciações e de amortizações - Propriedades de investimento
account_group_7612,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis
account_group_7613,7613,Reversões - De depreciações e de amortizações - Ativos intangíveis
account_group_7614,7614,Reversões - De depreciações e de amortizações - Ativos biológicos
account_group_7615,7615,Reversões - De depreciações e de amortizações - Investimentos financeiros
account_group_7622,7622,Reversões - De perdas por imparidade - Em inventários
account_group_7623,7623,Reversões - De perdas por imparidade - Em investimentos financeiros
account_group_7624,7624,Reversões - De perdas por imparidade - Em propriedades de investimento
account_group_7625,7625,Reversões - De perdas por imparidade - Em ativos fixos tangíveis
account_group_7626,7626,Reversões - De perdas por imparidade - Em ativos intangíveis
account_group_7627,7627,Em investimentos em curso
account_group_76275,76275,Adiantamentos por conta de investimentos
account_group_7628,7628,Reversões - De perdas por imparidade - Em ativos não correntes detidos para venda
account_group_77,77,Ganhos por aumentos de justo valor
account_group_772,772,Em investimentos financeiros
account_group_773,773,Ganhos por aumentos de justo valor - Em propriedades de investimento
account_group_774,774,Em ativos biológicos
account_group_781,781,Rendimentos suplementares
account_group_785,785,"Rendimentos em subsidiárias, associadas e empreendimentos conjuntos"
account_group_7851,7851,"Outros rendimentos - Rendimentos em subsidiárias, associadas e empreendimentos conjuntos"
account_group_7873,7873,Outros rendimentos - Rendimentos em investimentos não financeiros
account_group_78732,78732,Rendas e outros rendimentos em propriedades de investimento - Terrenos
account_group_792,792,Dividendos obtidos
