"id","code","name","depreciation_rate"
"asset_legal_rate_0655","0655","Bombas de gás (petróleo)",14.28
"asset_legal_rate_0665","0665","Instalações industriais de uso específico",10.00
"asset_legal_rate_0670","0670","Máquinas de uso específico",14.28
"asset_legal_rate_0680","0680","Material de distribuição de gases (embalagens)",12.50
"asset_legal_rate_0690","0690","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0695","0695","Máquinas e instalações industriais de uso específico em ambiente corrosivo",20.00
"asset_legal_rate_0700","0700","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0710","0710","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0715","0715","Máquinas e instalações industriais de uso específico em ambiente corrosivo",20.00
"asset_legal_rate_0720","0720","Aparelhos e utensílios de laboratório",20.00
"asset_legal_rate_0725","0725","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0730","0730","Máquinas e instalações industriais de uso específico",14.28
"asset_legal_rate_0735","0735","Prensas",6.25
"asset_legal_rate_0740","0740","Moldes e formas",33.33
"asset_legal_rate_0745","0745","Material de laboratório",20.00
"asset_legal_rate_0760","0760","Fornos reatores para sínteses",20.00
"asset_legal_rate_0765","0765","Fornos reatores para fusão",20.00
"asset_legal_rate_0770","0770","Instalações de eletrólise e de eletrossíntese",20.00
"asset_legal_rate_0775","0775","Instalações de fabricação de ácidos",20.00
"asset_legal_rate_0780","0780","Máquinas e outras instalações industriais de uso específico",12.50
"asset_legal_rate_0785","0785","Máquinas e outras instalações industriais de uso específico em ambiente corrosivo",16.66
"asset_legal_rate_0805","0805","Fornos e muflas intermitentes",14.28
"asset_legal_rate_0810","0810","Fornos e muflas contínuos",16.66
"asset_legal_rate_0815","0815","Máquinas e outras instalações industriais de uso específico",14.28
"asset_legal_rate_0825","0825","Moldes (gesso ou madeira)",33.33
"asset_legal_rate_0835","0835","Fornos",14.28
"asset_legal_rate_0840","0840","Máquinas e outras instalações industriais de uso específico",14.28
"asset_legal_rate_0845","0845","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0850","0850","Fornos",14.28
"asset_legal_rate_0855","0855","Máquinas e instalações de uso específico",12.50
"asset_legal_rate_0865","0865","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0875","0875","Fornos",14.28
"asset_legal_rate_0880","0880","Máquinas e instalações industriais de uso específico",14.28
"asset_legal_rate_0890","0890","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0910","0910","Fornos",12.50
"asset_legal_rate_0915","0915","Máquinas e instalações industriais de uso específico",12.50
"asset_legal_rate_0930","0930","Fornos",12.50
"asset_legal_rate_0935","0935","Máquinas e outros instrumentos industriais de uso específico",14.28
"asset_legal_rate_0950","0950","Fornos",14.28
"asset_legal_rate_0955","0955","Células eletrolíticas e outras instalações para reagentes químicos",16.66
"asset_legal_rate_0960","0960","Máquinas e outras instalações industriais de uso específico",14.28
"asset_legal_rate_0965","0965","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_0970","0970","Docas Flutuantes",8.33
"asset_legal_rate_0975","0975","Docas secas, cais e pontes-cais",5.00
"asset_legal_rate_0980","0980","Embarcações para navegação fluvial: De ferro",7.14
"asset_legal_rate_0985","0985","Embarcações para navegação fluvial: De madeira",10.00
"asset_legal_rate_0990","0990","Fornos",14.28
"asset_legal_rate_0995","0995","Outras instalações industriais de uso específico",10.00
"asset_legal_rate_1000","1000","Máquinas de uso específico",16.66
"asset_legal_rate_1010","1010","Fornos de secagem",20.00
"asset_legal_rate_1015","1015","Outros fornos e estufas",14.28
"asset_legal_rate_1020","1020","Instalações de vácuo",20.00
"asset_legal_rate_1025","1025","Células eletrolíticas e instalações para reagentes químicos",14.28
"asset_legal_rate_1030","1030","Equipamento de soldadura",20.00
"asset_legal_rate_1035","1035","Outras instalações industriais de uso específico",10.00
"asset_legal_rate_1040","1040","Prensas: De tipo ligeiro",14.28
"asset_legal_rate_1045","1045","Prensas: De tipo pesado",10.00
"asset_legal_rate_1050","1050","Máquinas de bobinar",25.00
"asset_legal_rate_1055","1055","Máquinas para corte de chapa magnética",20.00
"asset_legal_rate_1060","1060","Outras máquinas de uso específico",14.28
"asset_legal_rate_1065","1065","Moldes",33.33
"asset_legal_rate_1070","1070","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_1075","1075","Instalações industriais de uso específico",10.00
"asset_legal_rate_1080","1080","Máquinas de uso específico",14.28
"asset_legal_rate_1085","1085","Fornos",12.50
"asset_legal_rate_1090","1090","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_1095","1095","Instalações industriais de uso específico",10.00
"asset_legal_rate_1100","1100","Máquinas de uso específico",14.28
"asset_legal_rate_1105","1105","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_1110","1110","Instalações industriais de uso específico",10.00
"asset_legal_rate_1115","1115","Máquinas de uso específico",20.00
"asset_legal_rate_1120","1120","Moldes",33.33
"asset_legal_rate_1125","1125","Ferramentas e utensílios de uso específico",33.33
"asset_legal_rate_1130","1130","Construções ligeiras não afetas a obras em curso",12.50
"asset_legal_rate_1135","1135","Material de desenho, de topografia e de ensaio e medida",16.66
"asset_legal_rate_1140","1140","Materiais auxiliares de construção: De madeira: Andaimes",100.00
"asset_legal_rate_1145","1145","Materiais auxiliares de construção: De madeira: Cofragem",100.00
"asset_legal_rate_1150","1150","Materiais auxiliares de construção: Metálicos: Andaimes",14.28
"asset_legal_rate_1155","1155","Materiais auxiliares de construção: Metálicos: Cofragem",25.00
"asset_legal_rate_1160","1160","Materiais auxiliares de construção: Metálicos: Diversos",20.00
"asset_legal_rate_1165","1165","Materiais auxiliares de construção: Equipamentos: De transporte geral",25.00
"asset_legal_rate_1170","1170","De oficinas: Carpintaria",16.66
"asset_legal_rate_1175","1175","De oficinas: Serralharia",14.28
"asset_legal_rate_1180","1180","Produção e distribuição de energia elétrica",14.28
"asset_legal_rate_1185","1185","Para movimentação e armazenagem de materiais",14.28
"asset_legal_rate_1190","1190","Para trabalhos de ar comprimido",25.00
"asset_legal_rate_1195","1195","Para trabalhos de escavação e terraplenagem",20.00
"asset_legal_rate_1200","1200","De sondagens e fundações",20.00
"asset_legal_rate_1205","1205","Para exploração de pedreiras, fabricação e aplicação de betões e argamassas",20.00
"asset_legal_rate_1210","1210","Para construção de estradas",20.00
"asset_legal_rate_1215","1215","Para obras hidráulicas",6.25
"asset_legal_rate_1220","1220","Ferramentas e equipamentos individuais",33.33
"asset_legal_rate_1225","1225","Obras hidráulicas fixas",3.33
"asset_legal_rate_1230","1230","Equipamentos de centrais: Hidroelétricas",6.25
"asset_legal_rate_1235","1235","Equipamentos de centrais: Termoelétricas",8.33
"asset_legal_rate_1240","1240","Subestações e postos de transformação",5.00
"asset_legal_rate_1245","1245","Linhas de AT e suportes",5.00
"asset_legal_rate_1250","1250","Linhas de BT e suportes",7.14
"asset_legal_rate_1255","1255","Aparelhos de medida e controlo",12.50
"asset_legal_rate_1265","1265","Instalações de destilação de carvões minerais",6.25
"asset_legal_rate_1270","1270","Gasómetros e depósitos para armazenagem de gás",6.25
"asset_legal_rate_1275","1275","Subestações redutoras e rede de distribuição",6.25
"asset_legal_rate_1280","1280","Máquinas e outras instalações de uso específico",12.50
"asset_legal_rate_1285","1285","Aparelhos de medida e controlo",12.50
"asset_legal_rate_1295","1295","Obras hidráulicas fixas",3.33
"asset_legal_rate_1300","1300","Comportas",5.00
"asset_legal_rate_1305","1305","Reservatórios: De torre ou de superfície",4.00
"asset_legal_rate_1310","1310","Reservatórios: Subterrâneos",2.50
"asset_legal_rate_1315","1315","Condutas",4.00
"asset_legal_rate_1320","1320","Redes de distribuição: De ferro",5.00
"asset_legal_rate_1325","1325","Redes de distribuição: De fibrocimento ou similares",6.25
"asset_legal_rate_1330","1330","Outras instalações e máquinas de uso específico",12.50
"asset_legal_rate_1335","1335","Aparelhos de medida e controlo",12.50
"asset_legal_rate_1345","1345","Túneis e obras de arte",2.00
"asset_legal_rate_1350","1350","Vias férreas",6.25
"asset_legal_rate_1355","1355","Subestações de eletricidade e postos de transformação",5.00
"asset_legal_rate_1360","1360","Linhas elétricas e respetivas instalações",5.00
"asset_legal_rate_1365","1365","Instalações de sinalização e controlo",14.28
"asset_legal_rate_1370","1370","Locomotivas",7.14
"asset_legal_rate_1375","1375","Automotoras: Ligeiras",7.14
"asset_legal_rate_1380","1380","Automotoras: Pesadas",6.25
"asset_legal_rate_1385","1385","Vagões: Cubas, cisternas e frigoríficos",6.25
"asset_legal_rate_1390","1390","Vagões: Não especificadas",5.00
"asset_legal_rate_1395","1395","Carruagens e outro material rolante",5.00
"asset_legal_rate_1400","1400","Material de carga e descarga",8.33
"asset_legal_rate_1405","1405","Outras máquinas e instalações de uso específico",12.50
"asset_legal_rate_1415","1415","Linhas elétricas e respetivas instalações",5.00
"asset_legal_rate_1420","1420","Carros elétricos",6.25
"asset_legal_rate_1425","1425","Trolley-cars",10.00
"asset_legal_rate_1430","1430","Veículos automóveis de serviço público: Pesados, para passageiros",25.00
"asset_legal_rate_1435","1435","Veículos automóveis de serviço público: Pesados e reboques, para mercadorias",25.00
"asset_legal_rate_1440","1440","Veículos automóveis de serviço público: Ligeiros e mistos",25.00
"asset_legal_rate_1445","1445","Outras instalações de uso específico",10.00
"asset_legal_rate_1455","1455","Navios de carga geral convencionais e navios mistos de passageiros e de carga",10.00
"asset_legal_rate_1460","1460","Navios de passageiros, ferries, graneleiros, porta-contentores, navios-tanques, navios-frigoríficos e outros navios especializados",12.50
"asset_legal_rate_1465","1465","Dragas, gruas flutuantes, barcaças, etc., de ferro",8.33
"asset_legal_rate_1470","1470","Fragatas, barcaças e outras embarcações de madeira",12.50
"asset_legal_rate_1475","1475","Embarcações de borracha",10.00
"asset_legal_rate_1476","1476","Embarcações de fibra de vidro",25.00
"asset_legal_rate_1480","1480","Máquinas e instalações portuárias",14.28
"asset_legal_rate_1485","1485","Outras máquinas e instalações de uso específico",12.50
"asset_legal_rate_1495","1495","Aviões: Com motores de reação",16.66
"asset_legal_rate_1500","1500","Aviões: Com motores a turbo-hélice",16.66
"asset_legal_rate_1505","1505","Aviões: Com motores convencionais",25.00
"asset_legal_rate_1510","1510","Frota terrestre",20.00
"asset_legal_rate_1515","1515","Instalações auxiliares, nos aeroportos, para carga, embarque, etc",10.00
"asset_legal_rate_1520","1520","Máquinas e instalações de oficinas de reparação e revisão",12.50
"asset_legal_rate_1530","1530","Centrais de transmissão e de receção",12.50
"asset_legal_rate_1535","1535","Redes aéreas, suportes e cabos subterrâneos",5.00
"asset_legal_rate_1540","1540","Instalações de sincronização e de controlo",14.28
"asset_legal_rate_1545","1545","Instalações de registo de rádio",20.00
"asset_legal_rate_1550","1550","Postos públicos e particulares",10.00
"asset_legal_rate_1560","1560","Decorações interiores, incluindo tapeçarias",25.00
"asset_legal_rate_1565","1565","Mobiliário",12.50
"asset_legal_rate_1570","1570","Colchoaria e cobertores",25.00
"asset_legal_rate_1575","1575","Roupas brancas e atoalhados",50.00
"asset_legal_rate_1580","1580","Louças e objetos de vidro, exceto decorativos",33.33
"asset_legal_rate_1585","1585","Talheres e utensílios de cozinha",25.00
"asset_legal_rate_1590","1590","Aparelhagem e material médico-cirúrgico de rápida evolução técnica",33.33
"asset_legal_rate_1595","1595","Outro material, aparelhos, utensílios e instalações de uso específico",14.28
"asset_legal_rate_1600","1600","Máquinas de projeção e instalação sonora",14.28
"asset_legal_rate_1605","1605","Cortinas metálicas contra incêndios",5.00
"asset_legal_rate_1610","1610","Decorações interiores, incluindo tapeçarias (f)",20.00
"asset_legal_rate_1615","1615","Aparelhagem e mobiliário de uso específico",12.50
"asset_legal_rate_1620","1620","Instalações radiofónicas",12.50
"asset_legal_rate_1625","1625","Instalações de teledifusão e televisão",16.66
"asset_legal_rate_1630","1630","Instalações de sincronização e controlo",14.28
"asset_legal_rate_1635","1635","Instalações de gravação e registo",25.00
"asset_legal_rate_1640","1640","Equipamento móvel para serviço no exterior",20.00
"asset_legal_rate_1650","1650","Decorações de interiores, incluindo tapeçarias (f)",25.00
"asset_legal_rate_1655","1655","Mobiliário (f)",12.50
"asset_legal_rate_1660","1660","Colchoaria e cobertores",20.00
"asset_legal_rate_1665","1665","Roupas brancas e atoalhados",50.00
"asset_legal_rate_1670","1670","Louças e objetos de vidro, exceto decorativos",33.33
"asset_legal_rate_1675","1675","Talheres e utensílios de cozinha",25.00
