id,code,name
hr_tax_office_1953,1953,ALPIARCA
hr_tax_office_1961,1961,VILA N. DA BARQUINHA
hr_tax_office_1970,1970,BENAVENTE
hr_tax_office_1988,1988,CARTAXO
hr_tax_office_1996,1996,CHAMUSCA
hr_tax_office_2003,2003,CONSTANCIA
hr_tax_office_2011,2011,CORUCHE
hr_tax_office_2020,2020,ENTRONCAMENTO
hr_tax_office_2038,2038,FERREIRA DO ZEZERE
hr_tax_office_2046,2046,GOLEGA
hr_tax_office_2054,2054,MACAO
hr_tax_office_2062,2062,RIO MAIOR
hr_tax_office_2070,2070,SALVATERRA DE MAGOS
hr_tax_office_2089,2089,SANTAREM
hr_tax_office_2097,2097,SARDOAL
hr_tax_office_2100,2100,TOMAR
hr_tax_office_2119,2119,TORRES NOVAS
hr_tax_office_2127,2127,OUREM
hr_tax_office_2135,2135,ALCACER DO SAL
hr_tax_office_2143,2143,ALCOCHETE
hr_tax_office_2151,2151,ALMADA-1.
hr_tax_office_2160,2160,BARREIRO
hr_tax_office_2178,2178,GRANDOLA
hr_tax_office_2186,2186,MOITA
hr_tax_office_2194,2194,MONTIJO
hr_tax_office_2208,2208,PALMELA
hr_tax_office_2216,2216,SANTIAGO DO CACEM
hr_tax_office_2224,2224,SEIXAL 1.
hr_tax_office_2232,2232,SETUBAL-1.
hr_tax_office_2240,2240,SESIMBRA
hr_tax_office_2259,2259,SINES
hr_tax_office_2267,2267,ARCOS DE VALDEVEZ
hr_tax_office_2275,2275,CAMINHA
hr_tax_office_2283,2283,MELGACO
hr_tax_office_2291,2291,MONCAO
hr_tax_office_2305,2305,PAREDES DE COURA
hr_tax_office_2313,2313,PONTE DA BARCA
hr_tax_office_2321,2321,PONTE DE LIMA
hr_tax_office_2330,2330,VALENÇA
hr_tax_office_2348,2348,VIANA DO CASTELO
hr_tax_office_2356,2356,VILA NOVA CERVEIRA
hr_tax_office_2364,2364,ALIJO
hr_tax_office_2372,2372,BOTICAS
hr_tax_office_2380,2380,CHAVES
hr_tax_office_2399,2399,MESAO FRIO
hr_tax_office_2402,2402,MONDIM DE BASTO
hr_tax_office_2410,2410,MONTALEGRE
hr_tax_office_2429,2429,MURCA
hr_tax_office_2437,2437,PESO DA REGUA
hr_tax_office_2445,2445,RIBEIRA DE PENA
hr_tax_office_2453,2453,SABROSA
hr_tax_office_2461,2461,SANTA MARTA PENAGUIAO
hr_tax_office_2470,2470,VALPACOS
hr_tax_office_2488,2488,VILA POUCA DE AGUIAR
hr_tax_office_2496,2496,VILA REAL
hr_tax_office_2500,2500,ARMAMAR
hr_tax_office_2518,2518,CARREGAL DO SAL
hr_tax_office_2526,2526,CASTRO DAIRE
hr_tax_office_2534,2534,CINFAES
hr_tax_office_2542,2542,LAMEGO
hr_tax_office_2550,2550,MANGUALDE
hr_tax_office_2569,2569,MOIMENTA DA BEIRA
hr_tax_office_2577,2577,MORTAGUA
hr_tax_office_2585,2585,NELAS
hr_tax_office_2593,2593,OLIVEIRA DE FRADES
hr_tax_office_2607,2607,PENALVA DO CASTELO
hr_tax_office_2615,2615,PENEDONO
hr_tax_office_2623,2623,RESENDE
hr_tax_office_2631,2631,S.JOAO DA PESQUEIRA
hr_tax_office_2640,2640,S.PEDRO DO SUL
hr_tax_office_2658,2658,SANTA COMBA DAO
hr_tax_office_2666,2666,SATAO
hr_tax_office_2674,2674,SERNANCELHE
hr_tax_office_2682,2682,TABUACO
hr_tax_office_2690,2690,TAROUCA
hr_tax_office_2704,2704,TONDELA
hr_tax_office_2712,2712,VILA NOVA DE PAIVA
hr_tax_office_2720,2720,VISEU
hr_tax_office_2739,2739,VOUZELA
hr_tax_office_2747,2747,ANGRA DO HEROISMO
hr_tax_office_2755,2755,CALHETA ( S.JORGE )
hr_tax_office_2763,2763,PRAIA DA VITORIA
